Bosnia and Herzegovina,Measles,13.00,6.00,,,1404.00,62.00,18.00,133.00,1677.00,3000.00,,22.00,10.00,45.00,22.00,8.00,166.00,17.00,23.00,28.00,18.00,28.00,,43.00,133.00,2811.00,3937.00,,125.00,875.00,249.00,144.00,179.00,512.00,,,,,,,,,,
Botswana,Measles,63.00,1.00,0.00,5.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,7.00,8.00,853.00,184.00,0.00,1.00,6.00,5.00,1.00,59.00,7.00,1.00,2672.00,439.00,700.00,5032.00,1030.00,478.00,2447.00,5327.00,566.00,565.00,1218.00,3771.00,711.00,126.00,1018.00,1684.00,9249.00,6542.00,1512.00,2157.00,4091.00
Brazil,Measles,0.00,41.00,668.00,8448.00,20901.00,10330.00,,0.00,214.00,876.00,220.00,2.00,43.00,68.00,0.00,0.00,0.00,57.00,6.00,0.00,2.00,1.00,1.00,36.00,908.00,2781.00,52284.00,580.00,793.00,35.00,6037.00,7934.00,42537.00,61435.00,22853.00,26179.00,66059.00,129126.00,75993.00,80875.00,58259.00,39370.00,61281.00,99263.00
British Virgin Islands,Measles,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,168.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,0.00,20.00
Brunei Darussalam,Measles,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,4.00,1.00,,1.00,4.00,0.00,2.00,3.00,,,9.00,16.00,24.00,,11.00,42.00,23.00,12.00,13.00,,,,50.00,51.00,,12.00,39.00,28.00,63.00,440.00,617.00,541.00,558.00,243.00,775.00,485.00
Bulgaria,Measles,0.00,1.00,0.00,257.00,1231.00,13.00,165.00,1.00,0.00,0.00,14.00,1.00,157.00,22004.00,2249.00,1.00,1.00,1.00,3.00,0.00,0.00,0.00,8.00,46.00,24.00,80.00,23.00,695.00,172.00,121.00,354.00,20258.00,2028.00,147.00,111.00,404.00,1560.00,1370.00,972.00,292.00,326.00,281.00,9239.00,10763.00
Burkina Faso,Measles,680.00,252.00,,2480.00,672.00,4072.00,49.00,226.00,99.00,343.00,375.00,7362.00,860.00,2511.00,54118.00,395.00,12.00,125.00,253.00,77.00,2946.00,1744.00,4174.00,6074.00,5516.00,,1438.00,18534.00,5669.00,2925.00,14445.00,21751.00,6590.00,9804.00,7474.00,7782.00,28282.00,11722.00,17461.00,30094.00,21395.00,20940.00,17327.00,13713.00
Burundi,Measles,1684.00,212.00,369.00,1700.00,112.00,9.00,18.00,16.00,9.00,0.00,0.00,49.00,129.00,495.00,305.00,173.00,43.00,784.00,0.00,2.00,224.00,1016.00,,18363.00,2928.00,1449.00,1273.00,16099.00,14782.00,7192.00,23869.00,22344.00,10397.00,13282.00,28014.00,33261.00,23297.00,39631.00,36740.00,28587.00,49302.00,42051.00,58970.00,49227.00
Cabo Verde,Measles,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,289.00,8584.00,0.00,10.00,30.00,0.00,1.00,7.00,0.00,1.00,7.00,450.00,,3048.00,49.00,1385.00,1282.00,150.00,1279.00
Cambodia,Measles,11.00,13.00,5.00,379.00,684.00,3.00,10.00,56.00,0.00,0.00,0.00,15.00,722.00,1156.00,4779.00,4211.00,394.00,188.00,264.00,352.00,653.00,1361.00,3761.00,12237.00,13827.00,1993.00,3826.00,2814.00,2038.00,946.00,1262.00,2759.00,2186.00,2473.00,9256.00,4934.00,9281.00,17219.00,44557.00,38329.00,10368.00,57605.00,40774.00,32240.00
